Métodos de Optimización, 100, 1
1, D, 

Historia de la Computación, 101, 1
1, D, 

Probabilidad y Estadística para Ingeniería, 102, 3
1, D, 
2, P, 18-10-2025
3, D, 

Marketing Digital Estratégico 5, 103, 1
1, D, 

Lógica Matemática y Computacional, 104, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, P, 04-11-2025

Realidad Virtual y Aumentada 5, 105, 4
1, D, 
2, D, 
3, P, 07-11-2025
4, D, 

Machine Learning Práctico, 106, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Ética en Tecnología e IA, 107, 4
1, P, 19-10-2025
2, D, 
3, D, 
4, D, 

Python para Data Science, 108, 3
1, D, 
2, P, 18-10-2025
3, D, 

Lógica Matemática y Computacional 5, 109, 4
1, D, 
2, D, 
3, D, 
4, D, 

Machine Learning Práctico, 110, 2
1, P, 09-11-2025
2, D, 

Marketing Digital Estratégico, 111, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Diseño de Experiencia de Usuario 4, 112, 4
1, P, 30-10-2025
2, D, 
3, P, 12-11-2025
4, D, 

Geometría Analítica del Espacio, 113, 2
1, P, 25-10-2025
2, D, 

Diseño de Compiladores 2, 114, 1
1, D, 

Programación Orientada a Objetos en Java 2, 115, 3
1, P, 24-10-2025
2, D, 
3, D, 

Probabilidad y Estadística para Ingeniería 4, 116, 4
1, P, 07-11-2025
2, D, 
3, D, 
4, D, 

Ingeniería de Software Práctica 1, 117, 1
1, P, 13-11-2025

Cloud Computing con AWS, 118, 3
1, D, 
2, P, 10-11-2025
3, D, 

Realidad Virtual y Aumentada, 119, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Teoría de Grafos Aplicada, 120, 1
1, D, 

Ingeniería de Software Práctica 2, 121, 5
1, D, 
2, D, 
3, D, 
4, P, 06-11-2025
5, D, 

Investigación de Operaciones 3, 122, 1
1, D, 

Diseño de Experiencia de Usuario 1, 123, 2
1, D, 
2, D, 

Teoría de Grafos Aplicada 5, 124, 3
1, D, 
2, D, 
3, P, 18-10-2025

Cálculo Diferencial e Integral, 125, 5
1, P, 18-10-2025
2, D, 
3, D, 
4, D, 
5, D, 

Geometría Analítica del Espacio 3, 126, 1
1, D, 

Álgebra Lineal Aplicada, 127, 5
1, P, 07-11-2025
2, D, 
3, D, 
4, D, 
5, D, 

Computación Cuántica, 128, 3
1, P, 04-11-2025
2, D, 
3, D, 

Realidad Virtual y Aumentada, 129, 1
1, D, 

Diseño de Experiencia de Usuario, 130, 3
1, D, 
2, D, 
3, D, 

Deep Learning con TensorFlow, 131, 2
1, D, 
2, D, 

Programación Avanzada en C++, 132, 3
1, D, 
2, P, 20-10-2025
3, D, 

Computación Cuántica 2, 133, 4
1, P, 28-10-2025
2, D, 
3, D, 
4, D, 

Algoritmos y Complejidad 2, 134, 2
1, D, 
2, D, 

DevOps y Metodologías Ágiles, 135, 2
1, P, 08-11-2025
2, D, 

Cloud Computing con AWS, 136, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

DevOps y Metodologías Ágiles, 137, 4
1, D, 
2, D, 
3, D, 
4, D, 

Testing y Quality Assurance, 138, 2
1, D, 
2, D, 

Deep Learning con TensorFlow, 139, 1
1, D, 

Diseño de Experiencia de Usuario 4, 140, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Python para Data Science 3, 141, 4
1, P, 21-10-2025
2, D, 
3, D, 
4, P, 24-10-2025

Ética en Tecnología e IA, 142, 1
1, D, 

Criptografía y Seguridad 3, 143, 4
1, D, 
2, D, 
3, D, 
4, D, 

Seguridad Informática Empresarial, 144, 1
1, D, 

Robótica Industrial, 145, 3
1, D, 
2, D, 
3, D, 

Internet de las Cosas con Arduino, 146, 5
1, P, 14-11-2025
2, D, 
3, D, 
4, D, 
5, P, 30-10-2025

Testing y Quality Assurance 5, 147, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Inteligencia Artificial Moderna, 148, 3
1, D, 
2, D, 
3, P, 05-11-2025

Desarrollo Web Full Stack 3, 149, 3
1, P, 21-10-2025
2, D, 
3, D, 

Game Development con Unity, 150, 3
1, D, 
2, D, 
3, D, 

Teoría de la Computación 1, 151, 5
1, D, 
2, D, 
3, D, 
4, P, 11-11-2025
5, D, 

Bases de Datos Distribuidas, 152, 4
1, D, 
2, P, 26-10-2025
3, D, 
4, D, 

Diseño de Experiencia de Usuario 3, 153, 4
1, D, 
2, D, 
3, D, 
4, D, 

Desarrollo Web Full Stack 4, 154, 1
1, D, 

Seguridad Informática Empresarial, 155, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Marketing Digital Estratégico 3, 156, 4
1, D, 
2, D, 
3, D, 
4, D, 

Python para Data Science, 157, 5
1, D, 
2, P, 27-10-2025
3, D, 
4, D, 
5, D, 

Cloud Computing con AWS, 158, 3
1, P, 05-11-2025
2, P, 22-10-2025
3, D, 

Cloud Computing con AWS 3, 159, 4
1, P, 28-10-2025
2, D, 
3, P, 15-11-2025
4, D, 

Diseño de Experiencia de Usuario 3, 160, 3
1, P, 13-11-2025
2, P, 11-11-2025
3, D, 

Programación Avanzada en C++, 161, 5
1, P, 05-11-2025
2, D, 
3, D, 
4, D, 
5, D, 

Blockchain y Criptomonedas 1, 162, 3
1, D, 
2, D, 
3, P, 26-10-2025

Cálculo Diferencial e Integral, 163, 5
1, P, 10-11-2025
2, D, 
3, D, 
4, P, 23-10-2025
5, D, 

Geometría Analítica del Espacio, 164, 4
1, D, 
2, D, 
3, D, 
4, D, 

E-commerce y Negocios Digitales 3, 165, 2
1, D, 
2, D, 

Game Development con Unity, 166, 3
1, P, 03-11-2025
2, D, 
3, P, 27-10-2025

